id,date,time,location,lat,lng,type,category,detail,cause,prevention
A-001,2026-05-10,13:11,タイムズ四条烏丸,35.00476261,135.7602095,自損,後退時接触,天井,立体駐車場にて天井右上部分を突起物に当てる,車高と後退前の降車確認を徹底
A-002,2026-05-02,12:34,精華町山田下川原13-2,34.73705167,135.7926487,自損,接触,後部左側バンパー,駐車場での転回時にガードレールに接触,見通しの悪い場所では降車してでも確認すること
A-003,2026-05-02,13:52,京都市下京区不明門通五条下る上平野町455-1,34.99554642,135.7603929,自損,接触,前部右側バンパー,楊梅通を東進し不明門通で北進する際にいけず石へ接触,深夜帯の暗く見通しの悪い狭路では一時停止して通行余地を確認
A-004,2026-04-20,17:22,京都市左京区杉本町255-1,35.01375585,135.7744983,自損,接触,前部左側ドア,過信による細街路にて電柱との接触,発進前に周囲確認を行い無理なルートを避ける
A-005,2026-04-20,09:33,宇治市広野町寺山17-217,34.87104247,135.7824214,自損,接触,後部右側バンパー,他に気を取られバック走行した際に住宅の壁に接触,バック走行の際は常に車両の左右の動きを確認すること
A-006,2026-04-15,11:34,烏丸夷川通,35.0148178,135.7593032,自損,後退時接触,後部左側バンパー,車が斜めに止まったのでバック走行した際に壁に接触,バック走行の際は常に車両の左右の動きを確認すること
A-007,2026-04-12,19:15,京都市東山区中之町194-7,35.00892439,135.7848564,自損,後退時接触,左ミラー,乗降後の発進時に歩道側確認が不足,発進前の歩道側確認と声出し確認を徹底
A-008,2025-02-04,17:40,宇治橋西詰交差点,34.89083,135.80611,人身,追突,前部バンパー,夕方の渋滞で前方車両の減速確認が遅れた,車間距離を確保し渋滞時は速度を早めに落とす
A-009,2025-03-12,11:05,城陽市役所付近,34.85346,135.78093,物損,物損,左側面,狭路で対向車を避ける際に縁石へ接触,狭路では一時停止して通行余地を確認
A-010,2025-04-22,20:30,京田辺駅ロータリー,34.82187,135.76998,物損,後退時接触,右後部ドア,夜間の駐車枠から後退時にポールを見落とした,夜間後退時はミラーとバックモニターを複数回確認
A-011,2025-05-09,07:55,木津駅東口,34.73574,135.82466,人身,歩行者接触,左前部,横断歩道付近で歩行者の動きの確認が不足,横断歩道手前で徐行し左右確認を明確化
A-012,2025-06-16,13:20,六地蔵駅周辺,34.9323,135.7937,物損,物損,右ミラー,狭い停車位置から発進時に看板へ接触,発進前に左右の張り出し物を確認
A-013,2025-07-03,18:10,宇治徳洲会病院前,34.86765,135.78652,物損,追突,前部グリル,雨天で制動距離が伸び前方車へ接近,雨天時は通常より車間距離を広く取る
A-014,2025-08-28,09:35,久御山町役場付近,34.88215,135.73203,物損,後退時接触,後部ランプ,施設内で切り返し時に車止めへ接触,切り返し時は一度停止して進路を再確認
A-015,2025-09-14,15:45,新田辺駅西口,34.82078,135.76674,物損,物損,左スライドドア,乗降スペースで開扉時に支柱へ接触,乗降時のドア周辺確認を徹底
A-016,2025-10-07,22:15,宇治田原町役場付近,34.85246,135.85677,物損,単独,下部ステップ,暗所の段差を見落として乗り上げた,暗所では速度を落とし路面段差をライトで確認
A-017,2026-01-11,08:50,近鉄大久保駅前,34.87424,135.7782,物損,後退時接触,後部バンパー,朝の混雑時に後方歩行者へ注意が偏り車止めを見落とした,混雑時は誘導者確認と停止確認を優先
A-018,2026-02-19,16:25,文化パルク城陽前,34.85665,135.78196,物損,物損,右側面,送迎待機列から離脱時に隣接車両へ接触,発進前に周囲確認を行い無理な離脱を避ける
A-019,2026-03-08,12:10,宇治橋西詰交差点,34.89083,135.80611,人身,追突,前部バンパー,信号変化時に前方確認が遅れた,交差点進入時は信号と前方車両の動きを同時確認
A-020,2026-04-02,19:05,松井山手駅ロータリー,34.83319,135.72794,物損,後退時接触,右後部フェンダー,ロータリー内で後退時に低いポールを見落とした,低い障害物を想定して目視確認を追加
A-021,2026-05-06,10:30,木津駅東口,34.73574,135.82466,物損,歩行者接触,左ミラー,乗降後の発進時に歩道側確認が不足,発進前の歩道側確認と声出し確認を徹底
