id,date,time,location,lat,lng,type,category,detail,cause,prevention
V-001,2026-01-12,08:20,近鉄大久保駅前,34.874240,135.778200,道路交通法違反,一時停止不履行,交差点進入,停止線手前での完全停止が不十分,停止線手前で一呼吸置く確認を徹底
V-002,2026-01-29,17:35,宇治橋西詰交差点,34.890830,135.806110,社内基準違反,速度超過,幹線道路走行,混雑解消後に速度が上がりやすい,速度メーター確認を点呼で注意喚起
V-003,2026-02-08,09:10,京田辺駅ロータリー,34.821870,135.769980,道路交通法違反,進入禁止,ロータリー出口,標識確認前に進路選択した,進入前に標識と路面表示を確認
V-004,2026-02-21,13:45,木津駅東口,34.735740,135.824660,社内基準違反,ながら運転,停車中操作,短時間停車中に端末確認が発生,端末操作は安全な停車場所で実施
V-005,2026-03-03,18:25,松井山手駅ロータリー,34.833190,135.727940,道路交通法違反,一時停止不履行,見通し交差点,見通しの良さから停止確認が甘くなった,見通しに関係なく完全停止を実施
V-006,2026-03-18,07:50,文化パルク城陽前,34.856650,135.781960,社内基準違反,速度超過,通学時間帯,急ぎ心理により速度管理が不十分,通学時間帯は早めの減速を徹底
V-007,2026-04-04,20:15,宇治田原町役場付近,34.852460,135.856770,道路交通法違反,進入禁止,夜間走行,夜間で標識視認が遅れた,暗所では速度を落として標識確認
V-008,2026-04-22,11:30,久御山町役場付近,34.882150,135.732030,社内基準違反,ながら運転,待機中,待機中の連絡確認が運転再開直前まで続いた,運転再開前に端末操作を終了
V-009,2026-05-06,16:05,六地蔵駅周辺,34.932300,135.793700,道路交通法違反,一時停止不履行,狭路交差点,歩行者確認に気を取られ停止が浅くなった,歩行者確認と完全停止を分けて実施
V-010,2026-05-13,10:40,新田辺駅西口,34.820780,135.766740,社内基準違反,速度超過,駅周辺道路,流れに合わせて社内基準速度を超過,駅周辺は社内基準速度を優先
